output,input,S1,ST,level
iteration2_max_global_stress,E_slope,0.03546714782714844,0.049115554057061674,0
iteration2_max_global_stress,E_intercept,0.710869413614273,0.7460913896560669,0
iteration2_max_global_stress,nu,0.044482937455177306,0.05848634522408247,0
iteration2_max_global_stress,alpha_base,0.09033196568489074,0.12166467979550362,0
iteration2_max_global_stress,alpha_slope,4.7820806503295896e-05,0.016281119314953685,0
iteration2_max_global_stress,SS316_T_ref,0.0,0.011370406486093998,0
iteration2_max_global_stress,SS316_k_ref,0.011169832944869996,0.035171169135719535,0
iteration2_max_global_stress,SS316_alpha,0.0,0.002661371836438775,0
iteration2_keff,E_slope,0.002205124497413635,0.0045285272179171445,0
iteration2_keff,E_intercept,0.019791755080223083,0.02672042213380337,0
iteration2_keff,nu,0.03756056129932404,0.0461634011939168,0
iteration2_keff,alpha_base,0.7396311223506927,0.7637634962797165,0
iteration2_keff,alpha_slope,0.1594488501548767,0.16573828756809234,0
iteration2_keff,SS316_T_ref,0.0,0.005067119945306331,0
iteration2_keff,SS316_k_ref,0.0,0.012281907629221678,0
iteration2_keff,SS316_alpha,0.0,0.005410363641567528,0
iteration2_max_global_stress,E_slope,0.07183991372585297,0.0725166391581297,2
iteration2_max_global_stress,E_intercept,0.6325351029634476,0.651779779791832,2
iteration2_max_global_stress,nu,0.0791550636291504,0.07135323137044906,2
iteration2_max_global_stress,alpha_base,0.13096874058246613,0.14149969406425952,2
iteration2_max_global_stress,alpha_slope,0.03299644589424133,0.035076676215976474,2
iteration2_max_global_stress,SS316_T_ref,0.009756797552108764,0.010687966737896204,2
iteration2_max_global_stress,SS316_k_ref,0.05520687699317932,0.05894837211817503,2
iteration2_max_global_stress,SS316_alpha,0.009907674789428712,0.003997015091590584,2
iteration2_keff,E_slope,0.0,0.0014811442291829736,2
iteration2_keff,E_intercept,0.0,0.007980908267199993,2
iteration2_keff,nu,0.02783147096633911,0.044790637120604514,2
iteration2_keff,alpha_base,0.7117840886116028,0.7315540492534638,2
iteration2_keff,alpha_slope,0.19889186918735505,0.2252058431506157,2
iteration2_keff,SS316_T_ref,0.0,0.0075990465935319666,2
iteration2_keff,SS316_k_ref,0.0,0.00850474804174155,2
iteration2_keff,SS316_alpha,0.0,0.0031265941564925016,2
